# Project: Cozy MKIV N657CZ Electrical Schematic
# Issue Date: 1/7/14
# Revision: 4
#
Wire Label,From Component,From Pin,To Component,To Pin,Wire Gauge,Wire Color,Length,Wire Type,Notes,Warnings
P11A,C2,2,C2,1,24,Red,24.0,M22759/16,,
P13A,FH3,1,D3,2,-99,Red,40.9,M22759/16,4AWG > 6in,Cannot determine circuit current - missing load/source data
P14A,FH1,1,C2,1,24,Red,50.0,M22759/16,14 AWG (>6 in),
P20A,FH3,1,F3,1,20,Red,24.9,M22759/16,4AWG > 6in,
P20B,F3,2,B3,1,20,Red,68.8,M22759/16,18AWG,
P20D,SW5,4,LRU8,6,20,Red,124.10000000000001,M22759/16,20AWG,
P22A,D7,1,LRU8,5,20,Red,25.0,M22759/16,,
P22B,D7,2,LRU8,3,20,Red,25.0,M22759/16,,
P22C,F7,1,LRU8,3,20,Red,25.0,M22759/16,,
P22D,C4,,F7,2,20,Red,34.400000000000006,M22759/16,4AWG,
P23A,A2,1,LRU8,4,22,Red,96.79999999999998,M22759/16,20AWG,
P24A,A2,3,R5,2,24,Red,89.89999999999999,M22759/16,4AWG,
P24B,R5,1,F6,2,24,Red,25.099999999999994,M22759/16,4AWG,
P24C,C4,,F6,1,24,Red,32.8,M22759/16,> 6in 4AWG,
P30A,C2,1,F2,1,24,Red,33.400000000000006,M22759/16,14 AWG (>6 in),
P30B,R4,1,F2,2,24,Red,26.0,M22759/16,14AWG,
P30C,LRU2,3,R4,2,24,Red,41.5,M22759/16,,
P31A,LRU2,2,A1,2,18,Red,54.90000000000001,M22759/16,,
P32A,LRU2,5,A1,1,18,Red,54.90000000000001,M22759/16,,
P33A,LRU2,1,SW2,2,-99,Red,110.8,M22759/16,,Cannot determine circuit current - missing load/source data
P34A,C3,1,LRU2,4,-99,Red,25.0,M22759/16,,Cannot determine circuit current - missing load/source data
P51A,FH1,Val_A,R2,5,16,Red,141.29999999999998,M22759/16,20AWG,
P51B,R2,1,BT1,1,16,Red,35.8,M22759/16,14AWG,
P52A,F1,2,BT1,1,16,Red,33.3,M22759/16,,
P52B,R1,5,F1,1,16,Red,25.299999999999997,M22759/16,,
P52C,R1,2,FH2,11,16,Red,29.499999999999996,M22759/16,14AWG,
P53A,R1,3,R1,5,-99,Red,24.0,M22759/16,,Cannot determine circuit current - missing load/source data
P53B,R1,4,SW1,1,-99,Red,57.2,M22759/16,22AWG,Cannot determine circuit current - missing load/source data
P54A,FH3,1,D3,2,-99,Red,40.9,M22759/16,4AWG > 6in,Cannot determine circuit current - missing load/source data
P54B,D3,1,FH2,1,-99,Red,24.599999999999998,M22759/16,20AWG >6 IN,Cannot determine circuit current - missing load/source data
P55A,LRU61,4,FH2,1,24,Red,65.0,M22759/16,20AWG,
P56A,SW5,5,B3,2,-99,Red,37.1,M22759/16,20AWG 22AWG,Cannot determine circuit current - missing load/source data
P57A,D5,1,LRU61,3,24,Red,25.4,M22759/16,22AWG,
P61B,C2,1,C1,1,24,Red,29.0,M22759/16,4AWG,
P62A,CON1,2,C1,4,-99,Red,66.60000000000001,M22759/16,4AWG,Cannot determine circuit current - missing load/source data
P62B,D1,2,C1,2,-99,Red,24.800000000000004,M22759/16,,Cannot determine circuit current - missing load/source data
P62C,B1,2,LRU1,2,-99,Red,141.7,M22759/16,,Cannot determine circuit current - missing load/source data
P63A,LRU1,2,C1,3,-99,Red,25.0,M22759/16,,Cannot determine circuit current - missing load/source data
P64A,LRU1,1,C1,2,-99,Red,25.0,M22759/16,,Cannot determine circuit current - missing load/source data
P99A,D2,2,C2,3,6,Red,24.0,M22759/16,,
P99B,D2,1,C2,1,6,Red,24.0,M22759/16,,
P99C,C4,,M2,2,6,Red,85.59999999999998,M22759/16,4AWG,
